latitude,longitude,status
52.76040029166666,-1.216655425,picking
52.760446349999995,-1.21675885,picking
52.760492408333334,-1.216862275,picking
52.76053846666667,-1.2169657,picking
52.760584525,-1.217069125,picking
52.76063058333334,-1.21717255,picking
52.76067664166667,-1.217275975,picking
52.7607227,-1.2173794,delivering
52.76067664166667,-1.217275975,delivering
52.76063058333334,-1.21717255,delivering
52.760584525,-1.217069125,delivering
52.76053846666667,-1.2169657,delivering
52.760492408333334,-1.216862275,delivering
52.760446349999995,-1.21675885,delivering
52.76040029166666,-1.216655425,delivering
52.76035423333333,-1.2165519999999999,delivering
52.760308175,-1.2164485749999998,delivering
52.76026211666667,-1.21634515,delivering
52.76021605833333,-1.216241725,delivering
52.760169999999995,-1.2161383,delivering
52.76012615384615,-1.2160318076923076,delivering
52.76008230769231,-1.2159253153846152,delivering
52.76003846153846,-1.215818823076923,delivering
52.75999461538461,-1.2157123307692306,delivering
52.75995076923077,-1.2156058384615382,delivering
52.759906923076926,-1.215499346153846,delivering
52.759863076923075,-1.2153928538461536,delivering
52.75981923076923,-1.2152863615384613,delivering
52.75977538461539,-1.215179869230769,delivering
52.759731538461544,-1.2150733769230766,delivering
52.75968769230769,-1.2149668846153843,delivering
52.75964384615385,-1.214860392307692,delivering
52.759600000000006,-1.2147538999999996,delivering
52.75966020526317,-1.2146710526315785,delivering
52.75972041052632,-1.2145882052631576,delivering
52.75978061578948,-1.2145053578947365,delivering
52.759840821052634,-1.2144225105263153,delivering
52.759901026315795,-1.2143396631578944,delivering
52.75996123157895,-1.2142568157894733,delivering
52.76002143684211,-1.2141739684210524,delivering
52.76008164210526,-1.2140911210526313,delivering
52.76014184736842,-1.2140082736842102,delivering
52.76020205263158,-1.2139254263157893,delivering
52.76026225789474,-1.2138425789473681,delivering
52.76032246315789,-1.213759731578947,delivering
52.76038266842105,-1.213676884210526,delivering
52.760442873684205,-1.213594036842105,delivering
52.760503078947366,-1.213511189473684,delivering
52.76056328421052,-1.213428342105263,delivering
52.76062348947368,-1.2133454947368418,delivering
52.760683694736834,-1.213262647368421,delivering
52.760743899999994,-1.2131797999999998,delivering
52.760807099999994,-1.2130881,delivering
52.760870299999986,-1.2129964000000002,delivering
52.760933499999986,-1.2129047000000004,delivering
52.76100799999999,-1.2127983666666666,delivering
52.76108249999999,-1.2126920333333329,delivering
52.761157,-1.212585699999999,delivering
52.76123935,-1.2124755999999994,delivering
52.761321699999996,-1.2123655,delivering
52.76138459999999,-1.2122813,delivering
52.761465599999994,-1.2122243666666666,delivering
52.761546599999996,-1.2121674333333334,delivering
52.7616276,-1.2121105,delivering
52.7616851,-1.2121402000000001,delivering
52.761763200000004,-1.2120680999999998,delivering
52.7618413,-1.2119959999999994,delivering
52.76185160000001,-1.2119496999999995,delivering
52.761931350000005,-1.2118865999999997,delivering
52.7620111,-1.2118235,delivering
52.76209085,-1.2117604000000004,delivering
52.7621706,-1.2116973000000006,delivering
52.76226333333333,-1.2116829000000007,delivering
52.76235606666666,-1.211668500000001,delivering
52.762448799999994,-1.211654100000001,delivering
52.762521979999995,-1.211626040000001,delivering
52.76259516,-1.2115979800000007,delivering
52.76266833999999,-1.2115699200000007,delivering
52.76274151999999,-1.2115418600000005,delivering
52.76281469999999,-1.2115138000000005,delivering
52.762887879999994,-1.2114857400000005,delivering
52.762961059999995,-1.2114576800000003,delivering
52.76303423999999,-1.2114296200000003,delivering
52.76310741999999,-1.21140156,delivering
52.76318059999999,-1.2113735,delivering
52.763249599999995,-1.2113185000000004,delivering
52.76331859999999,-1.211263500000001,delivering
52.763387599999994,-1.2112085000000012,delivering
52.76345582222222,-1.2111533888888901,delivering
52.76352404444444,-1.211098277777779,delivering
52.76359226666666,-1.211043166666668,delivering
52.76366048888888,-1.2109880555555568,delivering
52.763728711111106,-1.2109329444444454,delivering
52.763796933333325,-1.2108778333333343,delivering
52.76386515555555,-1.2108227222222232,delivering
52.76393337777777,-1.210767611111112,delivering
52.76400159999999,-1.210712500000001,delivering
52.764073866666656,-1.2106536250000008,delivering
52.76414613333333,-1.2105947500000007,delivering
52.76421839999999,-1.2105358750000006,delivering
52.76429066666666,-1.2104770000000005,delivering
52.764362933333324,-1.2104181250000003,delivering
52.764435199999994,-1.2103592500000002,delivering
52.76450746666666,-1.210300375,delivering
52.76457973333332,-1.2102415,delivering
52.76465199999999,-1.2101826249999998,delivering
52.764724266666654,-1.2101237499999997,delivering
52.764796533333325,-1.2100648749999996,delivering
52.76486879999999,-1.2100059999999995,delivering
52.76493716874999,-1.2099460624999996,delivering
52.76500553749999,-1.2098861249999997,delivering
52.76507390624999,-1.2098261874999996,delivering
52.76514227499999,-1.2097662499999997,delivering
52.765210643749995,-1.2097063124999998,delivering
52.765279012499995,-1.209646375,delivering
52.765347381249995,-1.2095864375,delivering
52.765415749999995,-1.2095265,delivering
52.765484118749995,-1.2094665625,delivering
52.765552487499995,-1.2094066250000002,delivering
52.765620856249996,-1.2093466875000003,delivering
52.765689225,-1.2092867500000004,delivering
52.76575759375,-1.2092268125000005,delivering
52.7658259625,-1.2091668750000004,delivering
52.76589433125,-1.2091069375000005,delivering
52.7659627,-1.2090470000000006,delivering
52.766041900000005,-1.2089723000000006,delivering
52.7661211,-1.2088976000000002,delivering
52.7662003,-1.2088229000000001,delivering
52.76627504,-1.2088555600000004,delivering
52.76634978,-1.2088882200000004,delivering
52.766424519999994,-1.2089208800000006,delivering
52.766499259999996,-1.2089535400000007,delivering
52.76657399999999,-1.208986200000001,delivering
52.76665136666666,-1.2090170000000007,delivering
52.76672873333333,-1.2090478000000007,delivering
52.7668061,-1.2090786000000004,delivering
52.76688346666666,-1.2091094000000002,delivering
52.766960833333336,-1.2091402000000002,delivering
52.7670382,-1.209171,delivering
52.76714859999999,-1.2092330000000011,delivering
52.76724959999999,-1.2092518000000005,delivering
52.76735059999999,-1.2092706,delivering
52.76741969999999,-1.2092072,delivering
52.767488799999995,-1.2091438,delivering
52.76755789999999,-1.2090804000000004,delivering
52.767627,-1.2090170000000005,delivering
52.767696099999995,-1.2089536000000005,delivering
52.7677652,-1.2088902000000006,delivering
52.7678343,-1.2088268000000006,delivering
52.767903399999994,-1.2087634000000007,delivering
52.7679725,-1.2087000000000008,delivering
52.7680416,-1.208636600000001,delivering
52.7681107,-1.2085732000000011,delivering
52.7681798,-1.2085098000000012,delivering
52.768242349999994,-1.2084389166666678,delivering
52.7683049,-1.2083680333333346,delivering
52.76836745,-1.2082971500000013,delivering
52.768429999999995,-1.2082262666666679,delivering
52.76849254999999,-1.2081553833333347,delivering
52.76855509999999,-1.2080845000000013,delivering
52.76859307222222,-1.20798048888889,delivering
52.76863104444444,-1.207876477777779,delivering
52.768669016666664,-1.2077724666666678,delivering
52.76870698888888,-1.2076684555555568,delivering
52.7687449611111,-1.2075644444444456,delivering
52.76878293333333,-1.2074604333333343,delivering
52.76882090555555,-1.2073564222222233,delivering
52.768858877777774,-1.207252411111112,delivering
52.76889684999999,-1.2071484000000008,delivering
52.768934822222214,-1.2070443888888898,delivering
52.76897279444444,-1.2069403777777785,delivering
52.76901076666666,-1.2068363666666675,delivering
52.769048738888884,-1.2067323555555562,delivering
52.76908671111111,-1.206628344444445,delivering
52.76912468333333,-1.206524333333334,delivering
52.76916265555555,-1.2064203222222227,delivering
52.76920062777777,-1.2063163111111117,delivering
52.769238599999994,-1.2062123000000005,delivering
52.769264899999996,-1.2061586000000004,delivering
52.7693253,-1.2060840480000004,delivering
52.769385699999994,-1.2060094960000003,delivering
52.769446099999996,-1.2059349440000005,delivering
